longdust-f	276642293	277100566
TRF-all	268020816	281157822
TRF-c4	242424772	245487554
SDUST	108646378	108646378
TANTAN	343409976	561905318
TANTAN-r1e-9	249075941	319621012
ULTRA-all	375203967	381365967
ULTRA-s30	273661471	278078944
ULTRA-s30-c4	247584844	255517843
pytrf	148482355	153468285
FasTAN-all	313820607	327032010
FasTAN-c4	267779157	274323847
